distribution,bitwidth,scheme,mse,bias
nonzero floats,2,No Zero Point Offset,133.38949174306163,10.001684140544235
nonzero floats,2,Zero Point w/ Round,3.7047156883871666,0.013438153457042409
nonzero floats,2,Zero Point w/o Round,3.7071041951304844,0.015556398975339503
nonzero floats,3,No Zero Point Offset,128.3100666029161,6.943742303672016
nonzero floats,3,Zero Point w/ Round,0.6809605892253044,0.004836568506999747
nonzero floats,3,Zero Point w/o Round,0.6797823824259767,0.0056290243725842315
nonzero floats,4,No Zero Point Offset,17.475812114033168,0.4671424641762326
nonzero floats,4,Zero Point w/ Round,0.1480997324015488,0.003350080613007324
nonzero floats,4,Zero Point w/o Round,0.14829496063304584,0.004477912099867929
nonzero floats,8,No Zero Point Offset,0.062263423705201174,0.001490063362736132
nonzero floats,8,Zero Point w/ Round,0.0005122710477526271,0.00019021581654403996
nonzero floats,8,Zero Point w/o Round,0.0005121767658132885,0.0001853404106970492
gaussian floats,2,No Zero Point Offset,0.8683726164352658,0.008101071448757076
gaussian floats,2,Zero Point w/ Round,0.5277590717092573,0.00514018948624539
gaussian floats,2,Zero Point w/o Round,0.6030174694204524,0.024471745764283286
gaussian floats,3,No Zero Point Offset,0.1561240793399235,0.003115138401760482
gaussian floats,3,Zero Point w/ Round,0.10478061086188344,0.002940532613511087
gaussian floats,3,Zero Point w/o Round,0.10475000773298035,0.0022442846753849824
gaussian floats,4,No Zero Point Offset,0.028650482667959713,0.0012886717901711346
gaussian floats,4,Zero Point w/ Round,0.02274522229579301,0.0012511327888482418
gaussian floats,4,Zero Point w/o Round,0.022849074024580522,0.0013367520174994356
gaussian floats,8,No Zero Point Offset,8.705751099435011e-05,7.138622568423329e-05
gaussian floats,8,Zero Point w/ Round,7.890289048916964e-05,8.927114222583555e-05
gaussian floats,8,Zero Point w/o Round,7.879935500629018e-05,7.595004695258314e-05
pruned floats,2,No Zero Point Offset,0.41521869381932525,0.005717782541010779
pruned floats,2,Zero Point w/ Round,0.23705639716702515,0.0037164414094493746
pruned floats,2,Zero Point w/o Round,0.8283356603589755,0.5310613676978339
pruned floats,3,No Zero Point Offset,0.06829239975138789,0.0021799271874361594
pruned floats,3,Zero Point w/ Round,0.04567070328149634,0.0012466919784999894
pruned floats,3,Zero Point w/o Round,0.1250893682065926,0.1845973338553033
pruned floats,4,No Zero Point Offset,0.012534930399509847,0.0010169617119909096
pruned floats,4,Zero Point w/ Round,0.00999414299610513,0.0008769905902955788
pruned floats,4,Zero Point w/o Round,0.024294145560235625,0.07862268053271412
pruned floats,8,No Zero Point Offset,3.811698163586897e-05,5.2134115519994286e-05
pruned floats,8,Zero Point w/ Round,3.448314244480913e-05,4.980346663406876e-05
pruned floats,8,Zero Point w/o Round,6.772834062247098e-05,0.0035532287210843574
